"topicName","topicLink"
"Distributed_algorithm","http://dbpedia.org/resource/Distributed_algorithm"
"Inter-process_communication","http://dbpedia.org/resource/Inter-process_communication"
"Grid_computing","http://dbpedia.org/resource/Grid_computing"
"Peer-to-peer","http://dbpedia.org/resource/Peer-to-peer"
"Consistency_(database_systems)","http://dbpedia.org/resource/Consistency_(database_systems)"
"Partitioning_(database)","http://dbpedia.org/resource/Partitioning_(database)"
"Consistent_hashing","http://dbpedia.org/resource/Consistent_hashing"
"Routing_protocol","http://dbpedia.org/resource/Routing_protocol"
"Transition_(computer_science)","http://dbpedia.org/resource/Transition_(computer_science)"
"Recovery-oriented_computing","http://dbpedia.org/resource/Recovery-oriented_computing"
"Edge_computing","http://dbpedia.org/resource/Edge_computing"
"Fault_tolerance","http://dbpedia.org/resource/Fault_tolerance"
"Distributed_lock_manager","http://dbpedia.org/resource/Distributed_lock_manager"
"Transactional_memory","http://dbpedia.org/resource/Transactional_memory"
"Distributed_resource_scheduler","http://dbpedia.org/resource/Distributed_resource_scheduler"
"Replication_(computing)","http://dbpedia.org/resource/Replication_(computing)"
"Content_addressable_network","http://dbpedia.org/resource/Content_addressable_network"
"Replica_placement","http://dbpedia.org/resource/Replica_placement"
"Load_balancing_(computing)","http://dbpedia.org/resource/Load_balancing_(computing)"
"Programming_paradigm","http://dbpedia.org/resource/Programming_paradigm"
"Wireless_sensor_network","http://dbpedia.org/resource/Wireless_sensor_network"
"Mobile_edge_computing","http://dbpedia.org/resource/Mobile_edge_computing"
"High_availability","http://dbpedia.org/resource/High_availability"
"Message-oriented_middleware","http://dbpedia.org/resource/Message-oriented_middleware"
"Content_delivery_network","http://dbpedia.org/resource/Content_delivery_network"
"Synchronization_(computer_science)","http://dbpedia.org/resource/Synchronization_(computer_science)"
"Transaction_processing","http://dbpedia.org/resource/Transaction_processing"
"Fault-tolerant_design","http://dbpedia.org/resource/Fault-tolerant_design"
"Decentralization","http://dbpedia.org/resource/Decentralization"
"Concurrency_control","http://dbpedia.org/resource/Concurrency_control"
"Overlay_network","http://dbpedia.org/resource/Overlay_network"
"Distributed_transaction","http://dbpedia.org/resource/Distributed_transaction"
"Data_partitioning","http://dbpedia.org/resource/Data_partitioning"
"Replication_protocol","http://dbpedia.org/resource/Replication_protocol"
"Horizontal_scaling","http://dbpedia.org/resource/Horizontal_scaling"
"Distributed_hash_table","http://dbpedia.org/resource/Distributed_hash_table"
"Fog_computing","http://dbpedia.org/resource/Fog_computing"
"Parallel_computing","http://dbpedia.org/resource/Parallel_computing"
"Database_shard","http://dbpedia.org/resource/Database_shard"
"Service_oriented_architecture","http://dbpedia.org/resource/Service_oriented_architecture"
"State_machine_replication","http://dbpedia.org/resource/State_machine_replication"
"Sharding","http://dbpedia.org/resource/Sharding"
"Message_queue","http://dbpedia.org/resource/Message_queue"
"Construction_and_Analysis_of_Distributed_Processes","http://dbpedia.org/resource/Construction_and_Analysis_of_Distributed_Processes"
"Category:Distributed_computing_architecture","http://dbpedia.org/resource/Category:Distributed_computing_architecture"
"Vertical_scaling","http://dbpedia.org/resource/Vertical_scaling"
"Cluster_computing","http://dbpedia.org/resource/Cluster_computing"
"Distributed_file_system","http://dbpedia.org/resource/Distributed_file_system"
"Machine_learning","http://dbpedia.org/resource/Machine_learning"
"Virtual_machine","http://dbpedia.org/resource/Virtual_machine"
"Network_topology","http://dbpedia.org/resource/Network_topology"
"Domain_Name_System","http://dbpedia.org/resource/Domain_Name_System"
"Data_replication","http://dbpedia.org/resource/Data_replication"
"Clock_synchronization","http://dbpedia.org/resource/Clock_synchronization"
"Scalability","http://dbpedia.org/resource/Scalability"
"Distributed_shared_memory","http://dbpedia.org/resource/Distributed_shared_memory"
"Consensus_algorithm","http://dbpedia.org/resource/Consensus_algorithm"
"Distributed_database","http://dbpedia.org/resource/Distributed_database"
"Thread_(computing)","http://dbpedia.org/resource/Thread_(computing)"
"Cloud_computing","http://dbpedia.org/resource/Cloud_computing"
